polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,curved_tube_mode,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_jacobian,divF_jacobian_correction,divF_christoffel_qg_approx,divF_curved_total,divF_curved_tube_qg_approx,divF_scale_upper_bound,epsilon_tilt,epsilon_curvature,jacobian_mean,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,54692.02655101172,0.65625,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.0278112031933162,-0.5539824385999333,-0.25621169935543603,-0.29777073924449726,0.16114573305019297,0.06338673691491635,0.0633867369149164,5.551115123125783e-17,1.2405266109276154e-07,0.0633868609675775,0.06338673691491635,7.596155297365339e-07,1673.5436887849967,0.24395533652566034,1.0,0.7561394482509454,1.2438605517490549,1.0,False,6.335433982477869e-05
anticyclonic,0.5,0.5057600140571594,59900.7909844414,0.71875,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.027564378901689897,-0.543022102168445,-0.2566028899130312,-0.28641921225541384,0.15979386560779754,0.06362924978921254,0.06362924978921254,0.0,1.2295169433538164e-07,0.06362937274090688,0.06362924978921254,7.52873945644242e-07,1673.5436887849967,0.26718917809953274,1.0,0.7329146337986544,1.2670853662013455,1.0,False,6.393067083535223e-05
anticyclonic,0.5,0.5057600140571594,65109.555417871095,0.78125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.02548578866689372,-0.5189260191838927,-0.25080741378668736,-0.2681186053972053,0.15525867437850888,0.0624591367200469,0.06245913672004693,2.7755575615628914e-17,1.1368008360514675e-07,0.062459250400130534,0.0624591367200469,6.961008024136268e-07,1673.5436887849967,0.29042301967340517,1.0,0.7096898193463633,1.2903101806536366,1.0,False,6.301086649297704e-05
anticyclonic,0.5,0.5057600140571594,70318.31985130078,0.84375,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.02422844037297795,-0.4774515951519036,-0.2363451896369435,-0.24110640551496013,0.14671328415346008,0.059358944355381436,0.059358944355381464,2.7755575615628914e-17,1.0807164585808155e-07,0.059359052427027326,0.059358944355381436,6.617584805907547e-07,1673.5436887849967,0.3136568612472776,1.0,0.6864650048940725,1.3135349951059276,1.0,False,5.999636147969764e-05
anticyclonic,0.5,0.5057600140571594,75527.08428473047,0.9062500000000001,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.030181522568392977,-0.41109406288946615,-0.2095561150253412,-0.20153794786412485,0.1309419948558679,0.05290054958495001,0.05290054958495001,0.0,1.3462553793214522e-07,0.05290068421048794,0.05290054958495001,8.243567563288604e-07,1673.5436887849967,0.33689070282115,1.0,0.6632401904417815,1.3367598095582185,1.0,False,5.385631262511264e-05
anticyclonic,0.5,0.5057600140571594,80735.84871816015,0.96875,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.03774373735977193,-0.3288353638600177,-0.17366454183399982,-0.1551708220260178,0.1111655202985575,0.04427487532739211,0.04427487532739217,5.551115123125783e-17,1.683570116157813e-07,0.044275043684403784,0.04427487532739211,1.0309057414556636e-06,1673.5436887849967,0.3601245443950224,1.0,0.6400153759894907,1.3599846240105093,1.0,False,4.545030693040805e-05
anticyclonic,0.5,0.5057600140571594,85944.61315158985,1.03125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.047332246060251416,-0.23277383743929855,-0.12916275221126805,-0.10361108522803046,0.08529615596652952,0.03238902753817922,0.032389027538179245,2.7755575615628914e-17,2.111268267847792e-07,0.03238923866500603,0.03238902753817922,1.2927994849686569e-06,1673.5436887849967,0.3833583859688948,1.0,0.6167905615371998,1.3832094384628002,1.0,False,3.47440543806406e-05
anticyclonic,0.5,0.5057600140571594,91153.37758501952,1.09375,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.057447040054097356,-0.12249798624256976,-0.07654825560433996,-0.04594973063822975,0.05716568069325937,0.019055927420963025,0.01905592742096304,1.3877787807814457e-17,2.562441524401908e-07,0.01905618366511548,0.019055927420963025,1.5690678126783231e-06,1673.5436887849967,0.4065922275427672,1.0,0.5935657470849088,1.4064342529150913,1.0,False,2.1829031179413703e-05
anticyclonic,0.5,0.5057600140571594,96362.14201844922,1.15625,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.07543945023115331,0.034911971562036896,0.001524203917882441,0.033387767644154444,0.017546461452305654,-0.00043632271242727267,-0.0004363227124272731,-4.336808689942018e-19,3.3649980863821854e-07,-0.0004359862126186349,-0.00043632271242727267,2.0604997760090574e-06,1673.5436887849967,0.4298260691166396,1.0,0.5703409326326178,1.4296590673673824,1.0,False,1.9835466565891216e-06
anticyclonic,0.5,0.5057600140571594,101570.90645187891,1.21875,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.05382817061946537,0.14784128691698742,0.06388320547174452,0.08395808144524289,-0.00967502742446908,-0.015007581690911959,-0.01500758169091197,-1.214306433183765e-17,2.4010208262779067e-07,-0.015007341588829343,-0.015007581690911959,1.4702245730123754e-06,1673.5436887849967,0.45305991069051205,1.0,0.5471161181803268,1.4528838818196732,1.0,False,-1.3186285917814051e-05
anticyclonic,0.5,0.5057600140571594,106779.67088530859,1.28125,0.0,0.0,0.0,streamfunction_dz,scale_audit,0.014546248714181262,0.22440883938454995,0.11199225391060355,0.11241658547394645,-0.02696143266898083,-0.025275388889694328,-0.025275388889694342,-1.3877787807814457e-17,6.48839551948985e-08,-0.025275324005739147,-0.025275388889694328,3.973059470277679e-07,1673.5436887849967,0.4762937522643844,1.0,0.5238913037280359,1.476108696271964,1.0,False,-2.3971320599647332e-05
anticyclonic,0.5,0.5057600140571594,111988.43531873828,1.34375,0.0,0.0,0.0,streamfunction_dz,scale_audit,-0.03527351071280513,0.29115976342630273,0.15765987254507735,0.13349989088122535,-0.04211009536062777,-0.034902368340896384,-0.03490236834089641,-2.7755575615628914e-17,-1.5733849555488226e-07,-0.03490252567939196,-0.034902368340896384,-9.634357183156385e-07,1673.5436887849967,0.4995275938382569,1.0,0.5006664892757451,1.499333510724255,1.0,False,-3.372936069926325e-05
anticyclonic,0.5,0.5057600140571594,117197.19975216797,1.40625,0.0,0.0,0.0,streamfunction_dz,scale_audit,-0.09793511149192008,0.35328895821464984,0.20345334715444577,0.14983561106020404,-0.05691929236805735,-0.0448119693410713,-0.044811969341071324,-2.0816681711721685e-17,-4.368423440920652e-07,-0.044812406183415414,-0.0448119693410713,-2.67493035373673e-06,1673.5436887849967,0.5227614354121293,1.0,0.4774416748234542,1.5225583251765458,1.0,False,-4.3232068233891074e-05
