polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_curved_tube_qg_approx,divF_curvature_sensitivity_upper,curvature_radius_product,pv_flux_proxy
anticyclonic,0.5,1.5558552742004395,13021.911083574218,0.15625,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.00718018467468149,-0.10366980918960926,-0.04743866532553456,-0.056231143864074684,0.051242591862204305,0.020820601259005266,0.020820601259005266,2.492059830337133e-07,0.4519574773616352,1.968397862661578e-05
anticyclonic,0.5,1.5558552742004395,18230.675517003907,0.21875,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.012640412521806303,-0.15512003817085457,-0.07146498159620404,-0.08365505657465053,0.07724438833637845,0.03156079745910451,0.03156079745910451,4.387166307234479e-07,0.6327404683062894,2.966741083291836e-05
anticyclonic,0.5,1.5558552742004395,23439.439950433592,0.28125,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.019868070997184843,-0.20557125899499096,-0.09550677058358148,-0.1100644884114095,0.10276482737528153,0.04221041645480328,0.04221041645480328,6.895703088662817e-07,0.8135234592509435,3.959616200216153e-05
anticyclonic,0.5,1.5558552742004395,28648.20438386328,0.34375,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.030826153648424507,-0.252977068466145,-0.11875621640466141,-0.13422085206148357,0.1269358068483487,0.052562211988455024,0.052562211988455024,1.069897540406186e-06,0.9943064501955976,4.927981653586734e-05
anticyclonic,0.5,1.5558552742004395,33856.96881729297,0.40625,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.04203861110956144,-0.2951805363248796,-0.1402221921987598,-0.15495834412611975,0.1486897389135476,0.0621802279218973,0.0621802279218973,1.459053475862717e-06,1.1750894411402517,5.8312106711532765e-05
anticyclonic,0.5,1.5558552742004395,39065.73325072265,0.46874999999999994,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.051684908964734676,-0.32962074908271244,-0.15879684303450767,-0.17082390604820472,0.16726408569430484,0.07063885861400701,0.07063885861400701,1.7938519871198224e-06,1.3558724320849058,6.608630680057853e-05
anticyclonic,0.5,1.5558552742004395,44274.497684152346,0.53125,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.056735430202860884,-0.35544753217016467,-0.17404188701516585,-0.18140564515499882,0.18211916444252518,0.07765346710986878,0.07765346710986878,1.969142758458614e-06,1.53665542302956,7.239670045592262e-05
anticyclonic,0.5,1.5558552742004395,49483.26211758203,0.59375,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.061131131337037015,-0.37017884618787633,-0.18458828553493825,-0.1855905606529381,0.19111051441124816,0.08233124243937477,0.08233124243937477,2.1217063862615943e-06,1.717438413974214,7.680510123533479e-05
anticyclonic,0.5,1.5558552742004395,54692.02655101172,0.65625,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.06892060689195667,-0.3724169373157876,-0.18965000243264515,-0.18276693488314238,0.19428867282167367,0.08478783297234666,0.08478783297234666,2.3920593090528096e-06,1.8982214049188681,7.924180293988789e-05
anticyclonic,0.5,1.5558552742004395,59900.7909844414,0.71875,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.07953733995216544,-0.3639880420533152,-0.18978634906269293,-0.17420169299062224,0.19264371871588432,0.08533127130262604,0.08533127130262604,2.760539162809944e-06,2.0790043958635223,7.99034301839523e-05
anticyclonic,0.5,1.5558552742004395,65109.555417871095,0.78125,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.08923969956536854,-0.3458694667707088,-0.18521945175966306,-0.16065001501104578,0.1865801722214333,0.08389159547917223,0.08389159547917223,3.0972834353745115e-06,2.2597873868081764,7.861122671878812e-05
anticyclonic,0.5,1.5558552742004395,70318.31985130078,0.84375,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.09859503741015062,-0.31478780158944397,-0.1740135325085523,-0.1407742690808917,0.17464662199855568,0.07962972243589006,0.07962972243589006,3.4219834632780194e-06,2.4405703777528305,7.451121262042954e-05
anticyclonic,0.5,1.5558552742004395,75527.08428473047,0.9062500000000001,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.113996763622668,-0.26672230080591475,-0.1540072918168898,-0.11271500898902494,0.15457467839154734,0.07144399758745319,0.07144399758745319,3.95653828256291e-06,2.6213533686974846,6.670631249180233e-05
anticyclonic,0.5,1.5558552742004395,80735.84871816015,0.96875,1.6314471274400382,0.6532731224004288,1.7573802952358257,thermal_wind,0.13219674405081092,-0.2071279817425004,-0.12717393800949503,-0.07995404373300541,0.12915325097486735,0.06034731940752878,0.06034731940752878,4.588213402254855e-06,2.8021363596421387,5.6015968732745034e-05
