polarity,tau,depth_m,epsilon_tilt_median,epsilon_curvature_median,epsilon_curvature_p90,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature_fraction
cyclonic,0.5,53.85063552856445,42.58304319277696,137.16190378314494,242.31936335022274,-267.6085814339517,269.60858143395166,0.0,1.0
cyclonic,0.5,61.11283874511719,48.092603161757204,142.3228692949581,251.43706908775934,-277.5012646544659,279.5012646544659,0.0,1.0
cyclonic,0.5,69.02168273925781,37.483152202260094,29.962240954818274,52.933292353512286,-57.651914503758576,59.651914503758576,0.0,1.0
cyclonic,0.5,77.61116027832031,22.206468952418945,87.19831726043242,154.05036049343062,-169.74595792272225,171.74595792272225,0.0,1.0
cyclonic,0.5,86.92942810058594,48.12304823326344,41.925304858004345,74.06803858247434,-81.0880837898277,83.0880837898277,0.0,1.0
cyclonic,0.5,97.04131317138672,17.23261945079503,284.5457783080558,502.6975416775652,-555.865130146615,557.865130146615,0.0,1.0
cyclonic,0.5,108.03028106689453,36.24922792699593,152.70180617190866,269.7731909037053,-298.0401072361849,300.0401072361849,0.0,1.0
cyclonic,0.5,120.0,32.90947879903832,43.29018221862019,76.47932191956234,-83.77660512423574,85.77660512423573,0.0,1.0
cyclonic,0.5,133.07582092285156,28.43424984501203,8.891825452097295,15.708891632038556,-16.39992917478684,18.39992917478684,0.041666666666666664,0.9583333333333334
cyclonic,0.5,147.40625,41.19336695153855,26.637200642531937,47.059054468473086,-51.1557927207543,53.15579272075429,0.0,1.0
cyclonic,0.5,163.16445922851562,42.72258118894532,19.88583738289649,35.13164604311713,-37.917249749600444,39.917249749600444,0.041666666666666664,0.9583333333333334
cyclonic,0.5,180.5499267578125,30.296557289489133,40.18632701414032,70.99584439164789,-77.6803566951958,79.6803566951958,0.0,1.0
cyclonic,0.5,199.7899627685547,33.70791861580299,15.791883936756633,27.898994954936718,-29.90908599625135,31.909085996251346,0.041666666666666664,0.9583333333333334
cyclonic,0.5,221.14117431640625,36.066435904339556,6.317863798382531,11.16155937714247,-11.365013657979455,13.365013657979453,0.08333333333333333,0.9166666666666666
cyclonic,0.5,244.890625,44.82757344730043,1.2840188794121026,2.268433353628048,-1.5134270605826607,3.5134270605826607,0.375,0.625
cyclonic,0.5,271.35638427734375,51.877636620015586,3.5431929372791533,6.259640855859837,-5.933808476712233,7.933808476712233,0.125,0.875
cyclonic,0.5,300.88751220703125,42.66086082673973,0.5907640870018065,1.0436832203698583,-0.1568967111597191,2.1568967111597193,0.8333333333333334,0.16666666666666666
cyclonic,0.5,333.8628234863281,41.37738527687214,5.842248090828553,10.32130496046378,-10.440924142965397,12.440924142965397,0.08333333333333333,0.9166666666666666
cyclonic,0.5,370.6884765625,44.95217829165699,7.254349933235306,12.816018215382375,-13.19539643173914,15.195396431739141,0.08333333333333333,0.9166666666666666
cyclonic,0.5,411.7938537597656,38.76695585089849,7.785709119533479,13.75475277784248,-14.23959768609209,16.23959768609209,0.08333333333333333,0.9166666666666666
cyclonic,0.5,457.6256103515625,37.022192840130906,19.59136778498721,34.61141642014407,-37.363631761240605,39.363631761240605,0.041666666666666664,0.9583333333333334
cyclonic,0.5,508.639892578125,23.186860659768993,39.08418300515967,69.04872330911543,-75.50710236180942,77.50710236180942,0.0,1.0
cyclonic,0.5,565.2922973632812,29.945438643901877,14.426960835820937,25.48763080995032,-27.249640750731416,29.249640750731416,0.041666666666666664,0.9583333333333334
