polarity,tau,depth_m,radius_m,radius_over_R,axis_x_km,axis_y_km,axis_tilt_km,buoyancy_source,F_n_classic,F_z_ordinary,F_z_tilted,F_z_tilt_correction,divF_classic,divF_tilted,divF_curved_tube_qg_approx,divF_curvature_sensitivity_upper,curvature_radius_product,pv_flux_proxy
anticyclonic,0.5,0.5057600140571594,122405.96418559765,1.46875,0.0,0.0,0.0,streamfunction_dz,-0.16038975056109986,0.41877407647159326,0.25176173023126336,0.1670123462403299,-0.07164125992927607,-0.05474211153611636,-0.05474211153611636,-4.380772183422133e-06,3.3433099129670154,-5.3227100205915164e-05
anticyclonic,0.5,0.5057600140571594,127614.72861902734,1.53125,0.0,0.0,0.0,streamfunction_dz,-0.22140716006740016,0.4884303415025964,0.3035039024563905,0.18492643904620604,-0.08762386293020952,-0.06560536030075104,-0.06560536030075104,-6.0473585415563424e-06,3.485578419901782,-6.394312748744853e-05
anticyclonic,0.5,0.5057600140571594,132823.49305245702,1.59375,0.0,0.0,0.0,streamfunction_dz,-0.2776035984326305,0.555714509380148,0.35512500787351137,0.20058950150663651,-0.10171747299279481,-0.07547021503870856,-0.07547021503870856,-7.582268304409391e-06,3.6278469268365483,-7.44935892967434e-05
anticyclonic,0.5,0.5057600140571594,138032.25748588672,1.65625,0.0,0.0,0.0,streamfunction_dz,-0.3183817209571148,0.6247098094002942,0.40870663255983014,0.21600317684046402,-0.11767088441082088,-0.08670902029994595,-0.08670902029994595,-8.696053095660053e-06,3.770115433771315,-8.57537917364417e-05
anticyclonic,0.5,0.5057600140571594,143241.0219193164,1.71875,0.0,0.0,0.0,streamfunction_dz,-0.35375637684652184,0.6849635101466707,0.4584105092628187,0.22655300088385183,-0.13131821202801644,-0.09699711135899486,-0.09699711135899486,-9.662251421776968e-06,3.912383940706082,-9.609620854408529e-05
anticyclonic,0.5,0.5057600140571594,148449.7863527461,1.7812500000000002,0.0,0.0,0.0,streamfunction_dz,-0.38160328320813514,0.7417455401600471,0.5067324814316772,0.2350130587283699,-0.14523265412594066,-0.10760571876433471,-0.10760571876433471,-1.0422842122595125e-05,4.054652447640849,-0.00010621004156803057
anticyclonic,0.5,0.5057600140571594,153658.55078617577,1.8437499999999998,0.0,0.0,0.0,streamfunction_dz,-0.3871269019048484,0.7948810268646543,0.5529926719808257,0.24188835488382843,-0.15774091241350843,-0.11723830224822938,-0.11723830224822938,-1.0573710336142061e-05,4.1969209545756145,-0.00011618712864888106
anticyclonic,0.5,0.5057600140571594,158867.31521960546,1.90625,0.0,0.0,0.0,streamfunction_dz,-0.3628358963191215,0.8434359644438606,0.5975301477270422,0.24590581671681844,-0.16928401699287268,-0.12706684411401142,-0.12706684411401142,-9.910242993590356e-06,4.339189461510381,-0.00012600556791280044
anticyclonic,0.5,0.5057600140571594,164076.07965303515,1.96875,0.0,0.0,0.0,streamfunction_dz,-0.323689295125549,0.8803241344141458,0.6356870039481028,0.24463713046604305,-0.17876788466133578,-0.13571716638491915,-0.13571716638491915,-8.84102042179645e-06,4.481457968445148,-0.0001344926775145543
anticyclonic,0.5,0.5057600140571594,169284.84408646484,2.03125,0.0,0.0,0.0,streamfunction_dz,-0.25464007008647016,0.9094719485938889,0.6692766986650519,0.24019524992883692,-0.18586236015433433,-0.143148437225154,-0.143148437225154,-6.9550587360912305e-06,4.6237264753799145,-0.0001421246821565362
